-4.83,	 3588,	 3182
-4.82,	 3700,	 3210
-4.81,	 3594,	 3330
-4.80,	 3760,	 3499
-4.79,	 3717,	 3361
-4.78,	 3790,	 3449
-4.77,	 3879,	 3608
-4.76,	 3870,	 3596
-4.75,	 3952,	 3555
-4.74,	 4027,	 3745
-4.73,	 4061,	 3672
-4.72,	 4259,	 3816
-4.71,	 4161,	 3863
-4.70,	 4271,	 3970
-4.69,	 4310,	 3971
-4.68,	 4338,	 3979
-4.67,	 4434,	 4123
-4.66,	 4401,	 4105
-4.65,	 4491,	 4340
-4.64,	 4489,	 4294
-4.63,	 4636,	 4367
-4.62,	 4638,	 4467
-4.61,	 4783,	 4579
-4.60,	 4823,	 4499
-4.59,	 4937,	 4658
-4.58,	 4813,	 4662
-4.57,	 4909,	 4909
-4.56,	 5029,	 4812
-4.55,	 5157,	 4870
-4.54,	 4934,	 4940
-4.53,	 5217,	 5120
-4.52,	 5217,	 4992
-4.51,	 5338,	 5135
-4.50,	 5476,	 5269
-4.49,	 5456,	 5332
-4.48,	 5486,	 5589
-4.47,	 5697,	 5336
-4.46,	 5746,	 5585
-4.45,	 5798,	 5682
-4.44,	 5941,	 5792
-4.43,	 5898,	 5933
-4.42,	 5961,	 5978
-4.41,	 6141,	 5951
-4.40,	 6033,	 6174
-4.39,	 6208,	 6070
-4.38,	 6237,	 6280
-4.37,	 6249,	 6466
-4.36,	 6650,	 6259
-4.35,	 6432,	 6485
-4.34,	 6584,	 6513
-4.33,	 6620,	 6630
-4.32,	 6679,	 6807
-4.31,	 6733,	 6790
-4.30,	 6672,	 7001
-4.29,	 6830,	 7047
-4.28,	 6951,	 7035
-4.27,	 7080,	 7078
-4.26,	 7167,	 7239
-4.25,	 7131,	 7381
-4.24,	 7464,	 7544
-4.23,	 7448,	 7724
-4.22,	 7355,	 7598
-4.21,	 7631,	 7791
-4.20,	 7493,	 7929
-4.19,	 7711,	 7896
-4.18,	 7853,	 7875
-4.17,	 7792,	 8141
-4.16,	 8045,	 8199
-4.15,	 8024,	 8273
-4.14,	 8274,	 8327
-4.13,	 8215,	 8539
-4.12,	 8353,	 8633
-4.11,	 8475,	 8671
-4.10,	 8539,	 8840
-4.09,	 8589,	 8898
-4.08,	 8522,	 8953
-4.07,	 8754,	 9261
-4.06,	 8812,	 9121
-4.05,	 8859,	 9379
-4.04,	 8952,	 9438
-4.03,	 9094,	 9574
-4.02,	 9285,	 9738
-4.01,	 9273,	 9982
-4.00,	 9326,	 9874
-3.99,	 9571,	 10009
-3.98,	 9564,	 10189
-3.97,	 9724,	 10229
-3.96,	 9636,	 10490
-3.95,	 10039,	 10374
-3.94,	 9961,	 10578
-3.93,	 10204,	 10668
-3.92,	 10257,	 10875
