score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,70
,,,N,21238
,,,fft,18
,,,enum,27
,,,cores,40
,,,walltime,34631.57267406583
,,,cputime,68.89366708700001
317,-9.898,-9.881,,
318,-9.945,-9.928,,
319,-9.992,-9.975,,
320,-10.039,-10.022,,
321,-10.087,-10.069,,
322,-10.134,-10.116,,
323,-10.182,-10.164,,
324,-10.23,-10.211,,
325,-10.278,-10.259,,
326,-10.326,-10.307,,
327,-10.374,-10.355,,
328,-10.422,-10.403,,
329,-10.47,-10.451,,
330,-10.519,-10.5,,
331,-10.568,-10.548,,
332,-10.616,-10.597,,
333,-10.665,-10.646,,
334,-10.714,-10.694,,
335,-10.764,-10.743,,
336,-10.813,-10.793,,
337,-10.862,-10.842,,
338,-10.912,-10.891,,
339,-10.962,-10.941,,
340,-11.011,-10.99,,
341,-11.061,-11.04,,
342,-11.111,-11.09,,
343,-11.162,-11.14,,
344,-11.212,-11.19,,
345,-11.262,-11.24,,
346,-11.313,-11.291,,
347,-11.364,-11.341,,
348,-11.415,-11.392,,
349,-11.465,-11.443,,
350,-11.517,-11.493,,
351,-11.568,-11.544,,
352,-11.619,-11.596,,
353,-11.671,-11.647,,
354,-11.722,-11.698,,
355,-11.774,-11.75,,
356,-11.826,-11.801,,
357,-11.878,-11.853,,
358,-11.93,-11.905,,
359,-11.982,-11.957,,
360,-12.035,-12.009,,
361,-12.087,-12.062,,
362,-12.14,-12.114,,
363,-12.192,-12.167,,
364,-12.245,-12.219,,
365,-12.298,-12.272,,
366,-12.351,-12.325,,
367,-12.405,-12.378,,
368,-12.458,-12.431,,
369,-12.512,-12.484,,
370,-12.565,-12.538,,
371,-12.619,-12.591,,
372,-12.673,-12.645,,
373,-12.727,-12.699,,
374,-12.781,-12.753,,
375,-12.835,-12.807,,
376,-12.89,-12.861,,
377,-12.944,-12.915,,
378,-12.999,-12.97,,
379,-13.054,-13.024,,
380,-13.109,-13.079,,
381,-13.164,-13.134,,
382,-13.219,-13.189,,
383,-13.274,-13.244,,
384,-13.33,-13.299,,
385,-13.385,-13.354,,
386,-13.441,-13.41,,
387,-13.497,-13.466,,
388,-13.553,-13.521,,
389,-13.609,-13.577,,
390,-13.665,-13.633,,
391,-13.722,-13.689,,
392,-13.778,-13.745,,
393,-13.835,-13.802,,
394,-13.892,-13.858,,
395,-13.948,-13.915,,
396,-14.005,-13.972,,
397,-14.063,-14.028,,
398,-14.12,-14.085,,
399,-14.177,-14.143,,
400,-14.235,-14.2,,
