score,cdf_pred,cdf_real,metakey,metaval
,,,n,40
,,,N,284
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,2.8403145350002887
,,,cputime,0.29658193099999997
,,,real_avg,31.102270533408554
,,,real_med,29.42617039040595
,,,real_var,402.83293392227336
,,,pred_avg,30.966455521021825
,,,pred_med,30.966455521021825
,,,pred_var,138.60233661702665
18.97,0.154,0.285,,
19.014,0.155,0.286,,
19.063,0.156,0.287,,
19.106,0.157,0.288,,
19.156,0.158,0.289,,
19.201,0.159,0.29,,
19.244,0.16,0.291,,
19.3,0.161,0.292,,
19.347,0.162,0.293,,
19.415,0.163,0.294,,
19.463,0.164,0.295,,
19.502,0.165,0.296,,
19.554,0.166,0.297,,
19.59,0.167,0.298,,
19.63,0.168,0.299,,
19.681,0.169,0.3,,
19.745,0.17,0.301,,
19.784,0.171,0.302,,
19.839,0.172,0.303,,
19.889,0.173,0.304,,
19.941,0.174,0.305,,
19.982,0.175,0.306,,
20.032,0.177,0.307,,
20.081,0.178,0.308,,
20.128,0.179,0.309,,
20.179,0.18,0.31,,
20.218,0.181,0.311,,
20.266,0.182,0.312,,
20.319,0.183,0.313,,
20.36,0.184,0.314,,
20.418,0.185,0.314,,
20.475,0.186,0.315,,
20.523,0.188,0.316,,
20.565,0.188,0.317,,
20.613,0.19,0.318,,
20.664,0.191,0.319,,
20.719,0.192,0.32,,
20.752,0.193,0.321,,
20.801,0.194,0.322,,
20.843,0.195,0.323,,
20.884,0.196,0.324,,
20.941,0.197,0.325,,
20.989,0.198,0.326,,
21.04,0.2,0.327,,
21.081,0.201,0.328,,
21.119,0.201,0.329,,
21.171,0.203,0.33,,
21.223,0.204,0.331,,
21.276,0.205,0.332,,
21.333,0.207,0.333,,
21.381,0.208,0.334,,
21.423,0.209,0.335,,
21.456,0.21,0.336,,
21.507,0.211,0.337,,
21.561,0.212,0.338,,
21.607,0.213,0.339,,
21.666,0.215,0.34,,
21.718,0.216,0.341,,
21.776,0.218,0.342,,
21.824,0.219,0.343,,
21.881,0.22,0.344,,
21.93,0.221,0.345,,
21.983,0.223,0.346,,
22.041,0.224,0.347,,
22.081,0.225,0.348,,
22.134,0.227,0.349,,
22.182,0.228,0.35,,
22.238,0.229,0.351,,
22.277,0.23,0.352,,
22.332,0.232,0.353,,
22.392,0.233,0.354,,
22.45,0.235,0.355,,
22.505,0.236,0.355,,
22.548,0.237,0.356,,
22.595,0.239,0.357,,
22.641,0.24,0.358,,
22.682,0.241,0.359,,
22.726,0.242,0.36,,
22.775,0.243,0.361,,
22.839,0.245,0.362,,
22.89,0.246,0.363,,
22.942,0.248,0.364,,
22.988,0.249,0.365,,
23.035,0.25,0.366,,
23.065,0.251,0.367,,
23.115,0.252,0.368,,
23.17,0.254,0.369,,
23.222,0.255,0.37,,
23.272,0.257,0.371,,
23.327,0.258,0.372,,
23.381,0.26,0.373,,
23.423,0.261,0.374,,
23.47,0.262,0.375,,
23.524,0.264,0.376,,
23.586,0.265,0.377,,
23.644,0.267,0.378,,
23.683,0.268,0.379,,
23.741,0.27,0.38,,
23.805,0.271,0.381,,
23.85,0.273,0.382,,
23.897,0.274,0.383,,
23.938,0.275,0.384,,
23.995,0.277,0.385,,
24.039,0.278,0.386,,
24.081,0.279,0.387,,
24.125,0.281,0.388,,
24.167,0.282,0.389,,
24.213,0.283,0.39,,
24.27,0.285,0.391,,
24.314,0.286,0.392,,
24.354,0.287,0.393,,
24.384,0.288,0.394,,
24.441,0.29,0.395,,
24.494,0.291,0.396,,
24.544,0.293,0.397,,
24.597,0.294,0.397,,
24.64,0.295,0.398,,
24.674,0.296,0.399,,
24.721,0.298,0.4,,
24.758,0.299,0.401,,
24.811,0.301,0.402,,
24.859,0.302,0.403,,
24.911,0.303,0.404,,
24.952,0.305,0.405,,
25.005,0.306,0.406,,
25.045,0.307,0.407,,
25.102,0.309,0.408,,
25.157,0.311,0.409,,
25.203,0.312,0.41,,
25.242,0.313,0.411,,
25.287,0.315,0.412,,
25.323,0.316,0.413,,
25.367,0.317,0.414,,
25.402,0.318,0.415,,
25.459,0.32,0.416,,
25.506,0.321,0.417,,
25.536,0.322,0.418,,
25.594,0.324,0.419,,
25.642,0.326,0.42,,
25.691,0.327,0.421,,
25.749,0.329,0.422,,
25.807,0.331,0.423,,
25.85,0.332,0.424,,
25.891,0.333,0.425,,
25.928,0.334,0.426,,
25.971,0.336,0.427,,
26.022,0.337,0.428,,
26.088,0.339,0.429,,
26.132,0.341,0.43,,
26.171,0.342,0.431,,
26.202,0.343,0.432,,
26.255,0.345,0.433,,
26.301,0.346,0.434,,
26.341,0.347,0.435,,
26.385,0.349,0.436,,
26.424,0.35,0.437,,
26.468,0.351,0.438,,
26.517,0.353,0.439,,
26.566,0.354,0.439,,
26.614,0.356,0.44,,
26.657,0.357,0.441,,
26.706,0.359,0.442,,
26.747,0.36,0.443,,
26.794,0.362,0.444,,
26.853,0.363,0.445,,
26.896,0.365,0.446,,
26.94,0.366,0.447,,
26.986,0.368,0.448,,
27.033,0.369,0.449,,
27.076,0.371,0.45,,
27.124,0.372,0.451,,
27.168,0.373,0.452,,
27.215,0.375,0.453,,
27.268,0.377,0.454,,
27.307,0.378,0.455,,
27.353,0.379,0.456,,
27.407,0.381,0.457,,
27.458,0.383,0.458,,
27.487,0.384,0.459,,
27.537,0.385,0.46,,
27.578,0.387,0.461,,
27.618,0.388,0.462,,
27.68,0.39,0.463,,
27.724,0.391,0.464,,
27.763,0.393,0.465,,
27.804,0.394,0.466,,
27.843,0.395,0.467,,
27.892,0.397,0.468,,
27.938,0.398,0.469,,
27.979,0.4,0.47,,
28.03,0.402,0.471,,
28.072,0.403,0.472,,
28.132,0.405,0.473,,
28.183,0.407,0.474,,
28.219,0.408,0.475,,
28.272,0.409,0.476,,
28.327,0.411,0.477,,
28.382,0.413,0.478,,
28.42,0.414,0.479,,
28.456,0.416,0.48,,
28.498,0.417,0.48,,
28.54,0.418,0.481,,
28.58,0.42,0.482,,
28.625,0.421,0.483,,
28.67,0.423,0.484,,
28.726,0.425,0.485,,
28.778,0.426,0.486,,
28.819,0.428,0.487,,
28.858,0.429,0.488,,
28.908,0.431,0.489,,
28.953,0.432,0.49,,
29.001,0.434,0.491,,
29.042,0.435,0.492,,
29.093,0.437,0.493,,
29.13,0.438,0.494,,
29.186,0.44,0.495,,
29.241,0.442,0.496,,
29.294,0.444,0.497,,
29.341,0.445,0.498,,
29.381,0.446,0.499,,
29.426,0.448,0.5,,
29.458,0.449,0.501,,
29.504,0.451,0.502,,
29.545,0.452,0.503,,
29.596,0.454,0.504,,
29.657,0.456,0.505,,
29.693,0.457,0.506,,
29.741,0.459,0.507,,
29.799,0.461,0.508,,
29.836,0.462,0.509,,
29.88,0.463,0.51,,
29.933,0.465,0.511,,
29.968,0.466,0.512,,
30.021,0.468,0.513,,
30.078,0.47,0.514,,
30.139,0.472,0.515,,
30.185,0.474,0.516,,
30.225,0.475,0.517,,
30.273,0.477,0.518,,
30.326,0.478,0.519,,
30.368,0.48,0.52,,
30.404,0.481,0.521,,
30.448,0.482,0.522,,
30.496,0.484,0.522,,
30.55,0.486,0.523,,
30.591,0.487,0.524,,
30.642,0.489,0.525,,
30.716,0.492,0.526,,
30.761,0.493,0.527,,
30.8,0.494,0.528,,
30.848,0.496,0.529,,
30.893,0.498,0.53,,
30.939,0.499,0.531,,
30.982,0.501,0.532,,
31.03,0.502,0.533,,
31.092,0.504,0.534,,
31.121,0.505,0.535,,
31.164,0.507,0.536,,
31.221,0.509,0.537,,
31.28,0.511,0.538,,
31.312,0.512,0.539,,
31.364,0.513,0.54,,
31.429,0.516,0.541,,
31.474,0.517,0.542,,
31.531,0.519,0.543,,
31.572,0.521,0.544,,
31.616,0.522,0.545,,
31.659,0.523,0.546,,
31.717,0.525,0.547,,
31.749,0.527,0.548,,
31.803,0.528,0.549,,
31.864,0.53,0.55,,
31.901,0.532,0.551,,
31.951,0.533,0.552,,
31.985,0.534,0.553,,
32.038,0.536,0.554,,
32.097,0.538,0.555,,
32.147,0.54,0.556,,
32.193,0.541,0.557,,
32.239,0.543,0.558,,
32.303,0.545,0.559,,
32.358,0.547,0.56,,
32.4,0.548,0.561,,
32.447,0.55,0.562,,
32.513,0.552,0.563,,
32.559,0.554,0.564,,
32.612,0.556,0.564,,
32.676,0.558,0.565,,
32.716,0.559,0.566,,
32.772,0.561,0.567,,
32.814,0.562,0.568,,
32.868,0.564,0.569,,
32.907,0.565,0.57,,
32.954,0.567,0.571,,
33.0,0.569,0.572,,
33.053,0.57,0.573,,
33.103,0.572,0.574,,
33.153,0.574,0.575,,
33.207,0.575,0.576,,
33.258,0.577,0.577,,
33.302,0.579,0.578,,
33.357,0.58,0.579,,
33.4,0.582,0.58,,
33.461,0.584,0.581,,
33.512,0.586,0.582,,
33.556,0.587,0.583,,
33.606,0.589,0.584,,
33.653,0.59,0.585,,
33.716,0.592,0.586,,
33.761,0.594,0.587,,
33.808,0.595,0.588,,
33.852,0.597,0.589,,
33.91,0.599,0.59,,
33.959,0.6,0.591,,
34.016,0.602,0.592,,
34.063,0.604,0.593,,
34.127,0.606,0.594,,
34.177,0.607,0.595,,
34.211,0.609,0.596,,
34.254,0.61,0.597,,
34.303,0.612,0.598,,
34.372,0.614,0.599,,
34.417,0.615,0.6,,
34.469,0.617,0.601,,
34.52,0.619,0.602,,
34.565,0.62,0.603,,
34.622,0.622,0.604,,
34.672,0.624,0.605,,
34.719,0.625,0.605,,
34.76,0.626,0.606,,
34.797,0.628,0.607,,
34.853,0.629,0.608,,
34.928,0.632,0.609,,
34.98,0.633,0.61,,
35.018,0.635,0.611,,
35.066,0.636,0.612,,
35.103,0.637,0.613,,
35.164,0.639,0.614,,
35.219,0.641,0.615,,
35.273,0.643,0.616,,
35.323,0.644,0.617,,
35.384,0.646,0.618,,
35.439,0.648,0.619,,
35.475,0.649,0.62,,
35.521,0.651,0.621,,
35.567,0.652,0.622,,
35.625,0.654,0.623,,
35.673,0.655,0.624,,
35.712,0.657,0.625,,
35.759,0.658,0.626,,
35.823,0.66,0.627,,
35.86,0.661,0.628,,
35.912,0.663,0.629,,
35.965,0.664,0.63,,
36.019,0.666,0.631,,
36.066,0.668,0.632,,
36.132,0.67,0.633,,
36.171,0.671,0.634,,
36.214,0.672,0.635,,
36.279,0.674,0.636,,
36.347,0.676,0.637,,
36.405,0.678,0.638,,
36.462,0.68,0.639,,
36.514,0.681,0.64,,
36.569,0.683,0.641,,
36.614,0.684,0.642,,
36.675,0.686,0.643,,
36.729,0.688,0.644,,
36.772,0.689,0.645,,
36.815,0.69,0.646,,
36.873,0.692,0.647,,
36.928,0.694,0.647,,
36.975,0.695,0.648,,
37.015,0.696,0.649,,
37.063,0.698,0.65,,
37.118,0.699,0.651,,
37.154,0.7,0.652,,
37.211,0.702,0.653,,
37.271,0.704,0.654,,
37.315,0.705,0.655,,
37.36,0.706,0.656,,
37.411,0.708,0.657,,
37.458,0.709,0.658,,
37.514,0.711,0.659,,
37.564,0.712,0.66,,
37.62,0.714,0.661,,
37.674,0.716,0.662,,
37.724,0.717,0.663,,
37.775,0.718,0.664,,
37.817,0.72,0.665,,
37.877,0.721,0.666,,
37.94,0.723,0.667,,
38.007,0.725,0.668,,
38.051,0.726,0.669,,
38.104,0.728,0.67,,
38.17,0.73,0.671,,
38.226,0.731,0.672,,
38.312,0.734,0.673,,
38.369,0.735,0.674,,
38.436,0.737,0.675,,
38.497,0.739,0.676,,
38.573,0.741,0.677,,
38.634,0.743,0.678,,
38.698,0.744,0.679,,
38.756,0.746,0.68,,
38.818,0.748,0.681,,
38.876,0.749,0.682,,
38.94,0.751,0.683,,
38.992,0.752,0.684,,
39.05,0.754,0.685,,
39.123,0.756,0.686,,
39.171,0.757,0.687,,
39.224,0.758,0.688,,
39.274,0.76,0.689,,
39.326,0.761,0.689,,
39.381,0.763,0.69,,
39.436,0.764,0.691,,
39.495,0.766,0.692,,
39.558,0.767,0.693,,
39.625,0.769,0.694,,
39.67,0.77,0.695,,
39.714,0.771,0.696,,
39.798,0.773,0.697,,
39.855,0.775,0.698,,
39.906,0.776,0.699,,
39.979,0.778,0.7,,
40.037,0.779,0.701,,
40.1,0.781,0.702,,
40.175,0.783,0.703,,
40.243,0.785,0.704,,
40.337,0.787,0.705,,
40.411,0.789,0.706,,
40.465,0.79,0.707,,
40.526,0.792,0.708,,
40.603,0.793,0.709,,
40.67,0.795,0.71,,
40.712,0.796,0.711,,
40.783,0.798,0.712,,
40.839,0.799,0.713,,
40.902,0.801,0.714,,
40.951,0.802,0.715,,
41.017,0.803,0.716,,
41.063,0.804,0.717,,
41.129,0.806,0.718,,
41.171,0.807,0.719,,
41.245,0.809,0.72,,
41.283,0.81,0.721,,
41.332,0.811,0.722,,
41.397,0.812,0.723,,
41.458,0.814,0.724,,
41.529,0.815,0.725,,
41.597,0.817,0.726,,
41.661,0.818,0.727,,
41.728,0.82,0.728,,
41.791,0.821,0.729,,
41.841,0.822,0.73,,
41.908,0.824,0.73,,
41.958,0.825,0.731,,
42.021,0.826,0.732,,
42.1,0.828,0.733,,
42.158,0.829,0.734,,
42.224,0.831,0.735,,
42.29,0.832,0.736,,
42.375,0.834,0.737,,
42.446,0.835,0.738,,
42.512,0.837,0.739,,
42.588,0.838,0.74,,
42.648,0.839,0.741,,
42.726,0.841,0.742,,
42.799,0.843,0.743,,
42.864,0.844,0.744,,
42.958,0.846,0.745,,
43.035,0.847,0.746,,
43.08,0.848,0.747,,
43.163,0.85,0.748,,
43.21,0.851,0.749,,
43.3,0.853,0.75,,
43.366,0.854,0.751,,
43.427,0.855,0.752,,
43.491,0.856,0.753,,
43.571,0.858,0.754,,
43.652,0.859,0.755,,
43.715,0.861,0.756,,
43.801,0.862,0.757,,
43.848,0.863,0.758,,
43.912,0.864,0.759,,
44.011,0.866,0.76,,
44.069,0.867,0.761,,
44.154,0.869,0.762,,
44.239,0.87,0.763,,
44.294,0.871,0.764,,
44.394,0.873,0.765,,
44.491,0.875,0.766,,
44.555,0.876,0.767,,
44.605,0.877,0.768,,
44.674,0.878,0.769,,
44.768,0.879,0.77,,
44.846,0.881,0.771,,
44.913,0.882,0.772,,
45.001,0.883,0.772,,
45.05,0.884,0.773,,
45.109,0.885,0.774,,
45.192,0.887,0.775,,
45.269,0.888,0.776,,
45.313,0.889,0.777,,
45.384,0.89,0.778,,
45.47,0.891,0.779,,
45.55,0.892,0.78,,
45.626,0.893,0.781,,
45.697,0.895,0.782,,
45.759,0.896,0.783,,
45.815,0.896,0.784,,
45.904,0.898,0.785,,
45.982,0.899,0.786,,
46.044,0.9,0.787,,
46.119,0.901,0.788,,
46.166,0.902,0.789,,
46.227,0.903,0.79,,
46.304,0.904,0.791,,
46.389,0.905,0.792,,
46.483,0.906,0.793,,
46.548,0.907,0.794,,
46.649,0.909,0.795,,
46.732,0.91,0.796,,
46.834,0.911,0.797,,
46.906,0.912,0.798,,
46.993,0.913,0.799,,
47.09,0.915,0.8,,
47.163,0.916,0.801,,
47.237,0.917,0.802,,
47.319,0.918,0.803,,
47.396,0.919,0.804,,
47.478,0.92,0.805,,
47.576,0.921,0.806,,
47.655,0.922,0.807,,
47.74,0.923,0.808,,
47.824,0.924,0.809,,
47.911,0.925,0.81,,
